index,Series ID,Year,Series,Sub-Series,Type,Average Hours
439,TUU10101AA01002992,2010,Working and Work-Related Activities,Working and Work-Related Activities,Men,3.65
440,TUU10101AA01003077,2010,Working and Work-Related Activities,Working and Work-Related Activities,Women,2.66
441,TUU10101AA01003216,2010,Working and Work-Related Activities,Working and Work-Related Activities,Total,0.0
442,TUU10101AA01003289,2010,Working and Work-Related Activities,Working and Work-Related Activities,Men,0.01
443,TUU10101AA01003360,2010,Working and Work-Related Activities,Working and Work-Related Activities,Women,0.0
444,TUU10101AA01003430,2010,Working and Work-Related Activities,Other Income-Generating Activities,Total,0.03
445,TUU10101AA01003454,2010,Working and Work-Related Activities,Other Income-Generating Activities,Men,0.03
446,TUU10101AA01003478,2010,Working and Work-Related Activities,Other Income-Generating Activities,Women,0.03
447,TUU10101AA01003502,2010,Working and Work-Related Activities,Job Search and Interviewing,Total,0.05
448,TUU10101AA01003526,2010,Working and Work-Related Activities,Job Search and Interviewing,Men,0.06
449,TUU10101AA01003549,2010,Working and Work-Related Activities,Job Search and Interviewing,Women,0.03
450,TUU10101AA01008209,2010,Working and Work-Related Activities,Working and Work-Related Activities,Total,0.28
451,TUU10101AA01008288,2010,Working and Work-Related Activities,Working and Work-Related Activities,Men,0.34
452,TUU10101AA01008366,2010,Working and Work-Related Activities,Working and Work-Related Activities,Women,0.22
453,TUU10101AA01003655,2010,Educational Activities,Attending Class,Total,0.28
