index,Series ID,Year,Series,Sub-Series,Type,Average Hours
199,TUU10101AA01003454,2008,Working and Work-Related Activities,Other Income-Generating Activities,Men,0.03
200,TUU10101AA01003478,2008,Working and Work-Related Activities,Other Income-Generating Activities,Women,0.04
201,TUU10101AA01003502,2008,Working and Work-Related Activities,Job Search and Interviewing,Total,0.04
202,TUU10101AA01003526,2008,Working and Work-Related Activities,Job Search and Interviewing,Men,0.05
203,TUU10101AA01003549,2008,Working and Work-Related Activities,Job Search and Interviewing,Women,0.02
204,TUU10101AA01008209,2008,Working and Work-Related Activities,Working and Work-Related Activities,Total,0.28
205,TUU10101AA01008288,2008,Working and Work-Related Activities,Working and Work-Related Activities,Men,0.36
206,TUU10101AA01008366,2008,Working and Work-Related Activities,Working and Work-Related Activities,Women,0.2
207,TUU10101AA01003655,2008,Educational Activities,Attending Class,Total,0.27
208,TUU10101AA01003728,2008,Educational Activities,Attending Class,Men,0.27
209,TUU10101AA01003786,2008,Educational Activities,Attending Class,Women,0.27
210,TUU10101AA01003859,2008,Educational Activities,Homework and Research,Total,0.16
211,TUU10101AA01003929,2008,Educational Activities,Homework and Research,Men,0.12
212,TUU10101AA01003993,2008,Educational Activities,Homework and Research,Women,0.2
213,TUU10101AA01008445,2008,Educational Activities,Attending Class,Total,0.03
214,TUU10101AA01008469,2008,Educational Activities,Attending Class,Men,0.03
215,TUU10101AA01008493,2008,Educational Activities,Attending Class,Women,0.04
216,TUU10101AA01006854,2008,"Organizational, Civic, and Religious Activities",Religious and Spiritual Activities,Total,0.14
217,TUU10101AA01006933,2008,"Organizational, Civic, and Religious Activities",Religious and Spiritual Activities,Men,0.12
218,TUU10101AA01007012,2008,"Organizational, Civic, and Religious Activities",Religious and Spiritual Activities,Women,0.17
219,TUU10101AA01015349,2008,"Organizational, Civic, and Religious Activities",Volunteering (Organizational and Civic Activities),Total,0.15
220,TUU10101AA01015428,2008,"Organizational, Civic, and Religious Activities",Volunteering (Organizational and Civic Activities),Men,0.14
221,TUU10101AA01015507,2008,"Organizational, Civic, and Religious Activities",Volunteering (Organizational and Civic Activities),Women,0.16
222,TUU10101AA01017238,2008,"Organizational, Civic, and Religious Activities",Religious and Spiritual Activities,Total,0.04
223,TUU10101AA01017317,2008,"Organizational, Civic, and Religious Activities",Religious and Spiritual Activities,Men,0.04
224,TUU10101AA01017396,2008,"Organizational, Civic, and Religious Activities",Religious and Spiritual Activities,Women,0.04
225,TUU10101AA01005370,2008,Leisure and Sports,"Socializing, Relaxing, and Leisure",Total,4.62
226,TUU10101AA01005394,2008,Leisure and Sports,"Socializing, Relaxing, and Leisure",Men,4.83
227,TUU10101AA01005418,2008,Leisure and Sports,"Socializing, Relaxing, and Leisure",Women,4.42
228,TUU10101AA01006639,2008,Leisure and Sports,"Sports, Exercise, and Recreation",Total,0.33
229,TUU10101AA01006663,2008,Leisure and Sports,"Sports, Exercise, and Recreation",Men,0.44
230,TUU10101AA01006687,2008,Leisure and Sports,"Sports, Exercise, and Recreation",Women,0.23
231,TUU10101AA01014773,2008,Leisure and Sports,"Sports, Exercise, and Recreation",Total,0.22
232,TUU10101AA01014852,2008,Leisure and Sports,"Sports, Exercise, and Recreation",Men,0.24
233,TUU10101AA01014931,2008,Leisure and Sports,"Sports, Exercise, and Recreation",Women,0.21
234,TUU10101AA01007522,2008,"Telephone Calls, Mail, and E-Mail",Telephone Calls (To or From),Total,0.13
235,TUU10101AA01007546,2008,"Telephone Calls, Mail, and E-Mail",Telephone Calls (To or From),Men,0.07
236,TUU10101AA01007570,2008,"Telephone Calls, Mail, and E-Mail",Telephone Calls (To or From),Women,0.18
237,TUU10101AA01001936,2008,"Telephone Calls, Mail, and E-Mail",Household and Personal Mail and Messages,Total,0.02
238,TUU10101AA01001960,2008,"Telephone Calls, Mail, and E-Mail",Household and Personal Mail and Messages,Men,0.02
239,TUU10101AA01001984,2008,"Telephone Calls, Mail, and E-Mail",Household and Personal Mail and Messages,Women,0.03
240,TUU10101AA01002008,2008,"Telephone Calls, Mail, and E-Mail",Household and Personal E-Mail and Messages,Total,0.06
241,TUU10101AA01002032,2008,"Telephone Calls, Mail, and E-Mail",Household and Personal E-Mail and Messages,Men,0.05
242,TUU10101AA01002056,2008,"Telephone Calls, Mail, and E-Mail",Household and Personal E-Mail and Messages,Women,0.07
243,TUU10101AA01015925,2008,"Other Activities, Not Elsewhere Classified","Other Activities, Not Elsewhere Classified",Total,0.24
244,TUU10101AA01016038,2008,"Other Activities, Not Elsewhere Classified","Other Activities, Not Elsewhere Classified",Men,0.18
245,TUU10101AA01016151,2008,"Other Activities, Not Elsewhere Classified","Other Activities, Not Elsewhere Classified",Women,0.29
246,TUU10101AA01000247,2009,Personal Care,Sleeping,Total,8.67
247,TUU10101AA01000326,2009,Personal Care,Sleeping,Men,8.62
248,TUU10101AA01000405,2009,Personal Care,Sleeping,Women,8.73
249,TUU10101AA01000484,2009,Personal Care,Grooming,Total,0.67
250,TUU10101AA01000563,2009,Personal Care,Grooming,Men,0.54
251,TUU10101AA01000642,2009,Personal Care,Grooming,Women,0.79
252,TUU10101AA01000721,2009,Personal Care,Other,Total,0.08
253,TUU10101AA01000745,2009,Personal Care,Other,Men,0.07
254,TUU10101AA01000769,2009,Personal Care,Other,Women,0.09
255,TUU10101AA01000793,2009,Personal Care,Other,Total,0.01
256,TUU10101AA01000817,2009,Personal Care,Other,Men,0.01
257,TUU10101AA01000841,2009,Personal Care,Other,Women,0.01
258,TUU10101AA01007594,2009,Personal Care,Other,Total,0.02
259,TUU10101AA01007618,2009,Personal Care,Other,Men,0.02
260,TUU10101AA01007642,2009,Personal Care,Other,Women,0.02
261,TUU10101AA01013237,2009,Eating and Drinking,Eating and Drinking,Total,1.22
262,TUU10101AA01013353,2009,Eating and Drinking,Eating and Drinking,Men,1.26
263,TUU10101AA01013469,2009,Eating and Drinking,Eating and Drinking,Women,1.19
264,TUU10101AA01047346,2009,Household Activities,Housework,Total,0.4
265,TUU10101AA01047409,2009,Household Activities,Housework,Men,0.19
266,TUU10101AA01047472,2009,Household Activities,Housework,Women,0.59
267,TUU10101AA01047535,2009,Household Activities,Housework,Total,0.16
268,TUU10101AA01047598,2009,Household Activities,Housework,Men,0.06
269,TUU10101AA01047661,2009,Household Activities,Housework,Women,0.25
270,TUU10101AA01047724,2009,Household Activities,Housework,Total,0.02
271,TUU10101AA01047787,2009,Household Activities,Housework,Men,0.01
272,TUU10101AA01047850,2009,Household Activities,Housework,Women,0.03
273,TUU10101AA01001102,2009,Household Activities,Food Preparation and Cleanup,Total,0.54
274,TUU10101AA01001181,2009,Household Activities,Food Preparation and Cleanup,Men,0.29
275,TUU10101AA01001260,2009,Household Activities,Food Preparation and Cleanup,Women,0.77
276,TUU10101AA01001483,2009,Household Activities,Household Activities,Total,0.2
277,TUU10101AA01001562,2009,Household Activities,Household Activities,Men,0.28
278,TUU10101AA01001641,2009,Household Activities,Household Activities,Women,0.12
279,TUU10101AA01009933,2009,Household Activities,Household Activities,Total,0.13
280,TUU10101AA01010012,2009,Household Activities,Household Activities,Men,0.11
281,TUU10101AA01010091,2009,Household Activities,Household Activities,Women,0.16
282,TUU10101AA01001339,2009,Household Activities,Household Activities,Total,0.08
283,TUU10101AA01001363,2009,Household Activities,Household Activities,Men,0.09
284,TUU10101AA01001387,2009,Household Activities,Household Activities,Women,0.07
285,TUU10101AA01001411,2009,Household Activities,Household Activities,Total,0.06
286,TUU10101AA01001435,2009,Household Activities,Household Activities,Men,0.09
287,TUU10101AA01001459,2009,Household Activities,Household Activities,Women,0.03
